goos: linux
goarch: amd64
pkg: github.com/ymz-ncnk/go-serialization-benchmarks
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
Serializers/mus+reuse+varint-16                               1.000 ± 0%
Serializers/mus+unsafe-16                                     1.000 ± 0%
Serializers/mus+reuse+unsafe-16                               0.000 ± 0%
Serializers/mus+notunsafe-16                                  2.000 ± 0%
Serializers/mus+notunsafe+reuse-16                            1.000 ± 0%
Serializers/benc+raw-16                                       2.000 ± 0%
Serializers/benc+raw+reuse-16                                 1.000 ± 0%
Serializers/benc+raw+unsafestr-16                             1.000 ± 0%
Serializers/benc+raw+reuse+unsafestr-16                       0.000 ± 0%
Serializers/protobuf+raw-16                                   4.000 ± 0%
Serializers/protobuf+varint-16                                4.000 ± 0%
Serializers/protobuf_mus+varint-16                            2.000 ± 0%
Serializers/protobuf_mus+reuse+varint-16                      1.000 ± 0%
Serializers/protobuf_mus+raw-16                               2.000 ± 0%
Serializers/protobuf_mus+raw+reuse-16                         1.000 ± 0%
Serializers/protobuf_mus+unsafe-16                            1.000 ± 0%
Serializers/protobuf_mus+reuse+unsafe-16                      0.000 ± 0%
Serializers/protobuf_mus+native+reuse+unsafe-16               2.000 ± 0%
Serializers/vtprotobuf+raw-16                                 4.000 ± 0%
Serializers/vtprotobuf+raw+reuse-16                           3.000 ± 0%
Serializers/vtprotobuf+raw+unsafeunm-16                       3.000 ± 0%
Serializers/vtprotobuf+raw+reuse+unsafeunm-16                 2.000 ± 0%
Serializers/vtprotobuf+varint-16                              4.000 ± 0%
Serializers/vtprotobuf+reuse+varint-16                        3.000 ± 0%
Serializers/bebop200sc+notunsafe-16                           2.000 ± 0%
Serializers/bebop200sc+notunsafe+reuse-16                     1.000 ± 0%
geomean                                                                  ¹
¹ summaries must be >0 to compute geomean
